fips,state,district_ids,margin,competitive,p1_data_tier,margin_stale,source,vintage
22099,LA,,-56.622,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22101,LA,,-42.273,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22103,LA,,-61.434,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22105,LA,,-49.634,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22107,LA,,-14.046,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22109,LA,,-63.484,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22111,LA,,-65.631,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22113,LA,,-74.581,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22115,LA,,-76.109,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22117,LA,,-48.411,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22119,LA,,-42.525,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22121,LA,,-28.146,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22123,LA,,-77.035,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22125,LA,,-34.286,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22127,LA,,-62.143,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
28001,MS,,24.035,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28003,MS,,-46.445,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28005,MS,,-18.123,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28007,MS,,-2.128,True,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28009,MS,,-15.419,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28011,MS,,41.51,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28013,MS,,-26.583,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28015,MS,,-18.201,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28017,MS,,13.805,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28019,MS,,-28.526,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28021,MS,,73.912,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28023,MS,,-21.989,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28025,MS,,28.599,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
