member_id,member_name,state,party,chamber,district,vote_id,vote_name,congress,vote_position,is_pro_labor,is_not_voting
S277,Thomas Carper,DE,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S309,Bob Casey,PA,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S373,Bill Cassidy,LA,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S252,Susan Collins,ME,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S337,Christopher Coons,DE,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S287,John Cornyn,TX,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S385,Catherine Cortez Masto,NV,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S374,Tom Cotton,AR,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S398,Kevin Cramer,ND,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S266,Mike Crapo,ID,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S355,Ted Cruz,TX,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S375,Steve Daines,MT,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S386,Tammy Duckworth,IL,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S253,Richard Durbin,IL,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S376,Joni Ernst,IA,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S221,Dianne Feinstein,CA,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S357,Deb Fischer,NE,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S331,Kirsten Gillibrand,NY,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S293,Lindsey Graham,SC,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S153,Charles Grassley,IA,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S407,Bill Hagerty,TN,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S388,Maggie Hassan,NH,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S399,Josh Hawley,MO,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S359,Martin Heinrich,NM,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S408,John Hickenlooper,CO,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S361,Mazie Hirono,HI,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S344,John Hoeven,ND,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S395,Cindy Hyde-Smith,MS,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S236,Jim Inhofe,OK,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S345,Ron Johnson,WI,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
