bioguide_id,name,state,party,chamber,district,key_vote_score,ideology_score,inverse_ideology_score,p2_combined,coverage_type
S375,Steve Daines,MT,R,senate,,0.0,0.8642242276965586,0.1357757723034414,0.05431,both
A000370,Alma S. Adams,NC,D,house,12,1.0,0.2021223163641832,0.7978776836358168,0.919151,both
B001305,Ted Budd,NC,R,senate,,0.0,0.9148892735667498,0.08511072643325024,0.034044,both
F000450,Virginia Foxx,NC,R,house,5,0.0,0.6345534222226793,0.3654465777773207,0.146179,both
H001067,Richard Hudson,NC,R,house,9,0.0,0.7355662576631165,0.26443374233688355,0.105773,both
M001210,Gregory F. Murphy,NC,R,house,3,0.0,0.7113868788380115,0.28861312116198845,0.115445,both
R000305,Deborah K. Ross,NC,D,house,2,1.0,0.2893113349811214,0.7106886650188786,0.884275,both
R000603,David Rouzer,NC,R,house,7,0.0,0.7865476613830795,0.21345233861692048,0.085381,both
S384,Thomas Tillis,NC,R,senate,,0.0,0.7946184267834496,0.20538157321655037,0.082153,both
S344,John Hoeven,ND,R,senate,,0.0,0.8187135059708078,0.18128649402919217,0.072515,both
S398,Kevin Cramer,ND,R,senate,,0.0,0.9001661212646586,0.09983387873534144,0.039934,both
B001298,Don Bacon,NE,R,house,2,0.5,0.6903148109695123,0.3096851890304877,0.423874,both
S357,Deb Fischer,NE,R,senate,,0.0,0.780784211347315,0.21921578865268498,0.087686,both
S001172,Adrian Smith,NE,R,house,3,0.0,0.7368642367245289,0.26313576327547106,0.105254,both
S324,Jeanne Shaheen,NH,D,senate,,0.5,0.38737559142254324,0.6126244085774568,0.54505,both
S388,Maggie Hassan,NH,D,senate,,0.5,0.5438923948660955,0.45610760513390447,0.482443,both
P000614,Chris Pappas,NH,D,house,1,1.0,0.48149169994227964,0.5185083000577204,0.807403,both
S370,Cory Booker,NJ,D,senate,,1.0,0.10048480325541943,0.8995151967445806,0.959806,both
G000583,Josh Gottheimer,NJ,D,house,5,1.0,0.4973274884263718,0.5026725115736281,0.801069,both
K000394,Andy Kim,NJ,D,senate,,1.0,0.3173972205874433,0.6826027794125566,0.873041,both
N000188,Donald Norcross,NJ,D,house,1,1.0,0.3584266702034613,0.6415733297965387,0.856629,both
